produkt,naklad_vyroba_obal_kc_bez_dph
OSTROPESTŘECOVÁ PASTA S LEVANDULÍ CHODOUŇSKOU,132
OSTROPESTŘECOVÁ PASTA S LEVANDULÍ CHODOUŇSKOU A POHANKOU – RODINNÉ BALENÍ,192
HAIR ACTIVATING SERUM Z LEVANDULE CHODOUŇSKÉ PRO OBNOVU RŮSTU VLASŮ,166
ANDĚLSKÉ KAPKY S LEVANDULÍ CHODOUŇSKOU (10 % CBD),81
NO STRESS KAPKY Z LEVANDULE CHODOUŇSKÉ,187
DYNAMIC SKIN REPARATOR S LEVANDULÍ CHODOUŇSKOU,116
MOLEKULY ŽIVOTA S UNIKÁTNÍ LEVANDULÍ CHODOUŇSKOU,332
KONOPNÝ BALZÁM S LEVANDULÍ CHODOUŇSKOU,96
KONOPNÝ OLEJ S LEVANDULÍ CHODOUŇSKOU (8 % CBD),147
VESELÉ STŘEVO A KLIDNÁ MYSL S BIO LEVANDULÍ CHODOUŇSKOU,135
ORAL PROFESSIONAL CARE S LEVANDULÍ CHODOUŇSKOU,116
ANTIBLEMISH S LEVANDULÍ CHODOUŇSKOU,106
"KÚRA STOP VYČERPÁNÍ, ÚZKOSTI A NESPAVOSTI – 30DENNÍ KÚRA",648
"KONOPNÝ ČAJ S LEVANDULÍ CHODOUŇSKOU, SYPANÝ",67
MÁTOVÝ EXTRAKT,10
"ZELENÝ ČAJ ""CHUN MEE"" S LEVANDULÍ CHODOUŇSKOU, SYPANÝ",32
SEROTONIN TANČÍ S DOPAMINEM,175
ČAJ ŠÍPKOVÁ RŮŽENKA – 30DENNÍ KÚRA,109
BIOAKTIVNÍ MÝDLO TEKUTÉ,135
"MERUŇKOVÝ ČAJ S LEVANDULÍ CHODOUŇSKOU, SYPANÝ",29
BIOAKTIVNÍ MÝDLO TUHÉ,112
VITAFRUIT SYPANÝ ČAJ S 9 VITAMÍNY A LEVANDULÍ CHODOUŇSKOU,23
DETOX BALÍČEK S LEVANDULÍ CHODOUŇSKOU,145
RAW DIVOKÁ VIŠEŇ TYČINKA V HOŘKÉ ČOKOLÁDĚ S BIO LEVANDULÍ CHODOUŇSKOU - VEGAN,17
EXTRA VIRGIN OLIVOVÝ OLEJ LISOVANÝ ZA STUDENA S BIO LEVANDULÍ CHODOUŇSKOU,112
POSVÁTNÉ BYLINY A STROMY PRO DLOUHOVĚKOST A ANTI AGING,33
NEKTAR BOHŮ,34
SIRUP Z LEVANDULE CHODOUŇSKÉ,40
LEDOVÝ ČAJ VITAFRUIT S 9 VITAMÍNY A LEVANDULÍ CHODOUŇSKOU,12
POHANKOVÁ KAŠE S LEVANDULÍ CHODOUŇSKOU,46
DOMÁCÍ GRANOLA VIŠEŇ S LEVANDULÍ CHODOUŇSKOU,46
GLUTEN FREE BALÍČEK S BIO LEVANDULÍ CHODOUŇSKOU,155
JÁHLOVÁ KAŠE S LEVANDULÍ CHODOUŇSKOU,46
"HARMONIE TĚLA, MYSLI A DUŠE S BIO LEVANDULÍ CHODOUŇSKOU",135
OCHUTNÁVKOVÝ BALÍČEK UNIKÁTNÍCH SYPANÝCH ČAJŮ S LEVANDULÍ CHODOUŇSKOU,145
ČOKO SUŠENKY S LEVANDULÍ CHODOUŇSKOU,46
LEVANDULOVÉ SUŠENKY RUČNĚ VYRÁBĚNÉ S LEVANDULÍ CHODOUŇSKOU,36
RAW VEGAN BEZLEPKOVÉ OVESNÉ HRUDKY S LEVANDULÍ CHODOUŇSKOU,46
EARL GREY SYPANÝ ČAJ S LEVANDULÍ CHODOUŇSKOU,35
MÁTOVÝ SIRUP,30
VITAMÍNOVÝ SIRUP S 9 VITAMÍNY A LEVANDULÍ CHODOUŇSKOU,76
HRUBOZRNNÁ MOŘSKÁ SŮL S BIO RŮŽÍ DAMAŠSKOU,36
MED KVĚTOVÝ S BIO LEVANDULÍ CHODOUŇSKOU,106
BIODYNAMICKÝ OCET S OVOCEM A BYLINAMI,25
KOUPELOVÁ SMĚS Z POHANKY A OVSA,32
RAW DIVOKÁ VIŠEŇ TYČINKA S BIO LEVANDULÍ CHODOUŇSKOU - VEGAN,17
RAW JAHODOVÁ TYČINKA S BIO LEVANDULÍ CHODOUŇSKOU - VEGAN,17
KOŘENÍ Z TRADIČNÍ ČESKÉ MATEŘÍDOUŠKY A CITRONOVÉ TRÁVY S LEVANDULÍ CHODOUŇSKOU,36
"PIVO SVĚTLÝ LEŽÁK S BIO LEVANDULÍ CHODOUŇSKOU, 4,7%",46
HRUBOZRNNÁ MOŘSKÁ SŮL S BIO MÁTOU PEPRNOU,36
MOŘSKÁ SŮL HRUBOZRNNÁ S LEVANDULÍ CHODOUŇSKOU,19
GOLDEN TŘTINOVÝ CUKR ZLATÝ S BIO LEVANDULÍ CHODOUŇSKOU,25
